"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Vietnamese>";"<Comments>";"<max_chars>"
"actionBarItem/switch_to_tank";"Switch to tank";"Revenir au char";"Passa al carro";"Auf Panzer wechseln";"Cambiar a tanque";"Переключиться на танк";"Przełącz na czołg";"Přepnout na tank";"Tanka geç";"切\t换\t至\t地\t面\t载\t具";"戦車に\t切り\t替える";"Mudar para tanque";"Перемкнутися на танк";"Switch to tank";"Váltás tankra";"전차로 교체";"Пераключыцца на танк";"Switch to tank";"切\t換\t至\t地\t面\t載\t具";"Switch to tank";"Đổi qua xe tăng";;
"actionBarItem/auto_turret";"Toggle autoturret targets";"Cycler les cibles de la tourelle automatique";"Bersagli automatici ON/OFF";"Automatisches Zielen der Geschütztürme Ein- / Ausschalten";"Alternar objetivos de torreta automática";"Переключение целей автотурелей";"Przełącz cele automatycznego ostrzału";"Zapnout cíle pro automatickou věž";"Otomatik taret hedeflerini değiştir";"切\t换\t自\t主\t式\t炮\t塔\t目\t标\t类\t型";"自動砲塔の\t切り\t替え";"Alternar alvos da torre automática";"Перемикання цілей автотурелей";"Toggle autoturret targets";"Tornyok automatikus célzásának be/ki kapcsolása";"자동 포탑 목표 설정";"Пераключэнне цэлей аўтатурэляў";"Toggle autoturret targets";"切\t換\t自\t主\t式\t炮\t塔\t目\t標\t類\t型";"切\t换\t自\t主\t式\t炮\t塔\t目\t标\t类\t型";"Chế độ pháo tự động dò mục tiêu";;
"actionBarItem/guidance_mode";"Guidance mode";"Mode de guidage";"Modo di guida";"Zielsuchmodus";"Modo de guía";"Режим наведения";"Tryb naprowadzania";"Režim navádění";"Güdüm modu";"制\t导\t模\t式";"誘導\tモード";"Modo de orientação";"Режим наведення";"Guidance mode";"Guidance mode";"유도 모드";"Режим наведения";"Guidance mode";"導\t引\t模\t式";"Guidance mode";"Chế độ dẫn đường";;
"actionBarItem/weapon_lock";"Target lock";"Verrouillage cible";"Aggancio bersaglio";"Ziel erfassen";"Fijar objetivo";"Захват цели";"Namierz cel";"Cíl uzamčen";"Hedefe kilitlenme";"锁\t定\t目\t标";"目標の\tロック";"Bloquear alvo";"Захоплення цілі";"Target lock";"Célpont bemérés";"목표 추적";"Захоп цэлi";"Target lock";"鎖\t定\t目\t標";"锁\t定\t目\t标";"Khoá mục tiêu ";;
"actionBarItem/tank_terraform";"Entrenching";"Rentranchement";"Trinceramento";"Räumschild";"Atrincherar";"Окапывание";"Okopanie";"Zakopání";"Siper kazma";"挖\t掘\t战\t壕";"塹壕";"Entrincheirar";"Обкопування";"Entrenching";"Beásás";"전선 고착중";"Акопванне";"Entrenching";"挖\t掘\t戰\t壕";"挖\t掘\t战\t壕";"Đào hào cố thủ";;
"actionBarItem/sight_stabilization";"Sight stabilization";"Stabilisation du viseur";"Stabilizzazione mirino";"Visierstabilisierung";"Estabilización de mira";"Стабилизация прицела";"Stabilizacja celownika";"Stabilizace zaměřovače";"Görüş Stabilizasyonu";"瞄\t准\t稳\t定\t器";"視界の\t安定化";"Estabilização de visão";"Стабілізація прицілу";"Sight stabilization";"Irányzékstabilizáció";"조준선 안정화";"Стабілізацыя прыцэла";"Sight stabilization";"瞄\t準\t穩\t定\t器";"Sight stabilization";"Ổn định ống ngắm";;
"actionBarItem/night_vision";"Night vision device";"Appareil de vision nocturne";"Dispositivo visione notturna";"Nachtsichtgerät";"Dispositivo de visión nocturna";"Прибор ночного видения";"Urządzenia noktowizyjne";"Zařízení nočního vidění";"Gece görüş cihazı";"夜\t视\t设\t备";"NV（暗視）\tデバイス";"Dispositivo de visão noturna";"Прилад нічного бачення";"Night vision device";"Éjjellátó eszköz";"야간 투시 장비";"Прылада начнога бачання";"Night vision device";"夜\t視\t設\t備";"Night vision device";"Thiết bị nhìn ban đêm";;
"actionBarItem/support_plane_orbiting";"Flying in orbit";"Voler en orbite";"Vola orbitando";"Flugorbit halten";"Volar en órbita";"Полёт по кругу";"Wykonywanie okrążeń";"Let na oběžné dráze";"Yörünge uçuş";"盘\t旋";"軌道上で\t飛行";"Voando em órbita";"Політ по колу";"Flying in orbit";"Körözés";"궤도 비행";"Палёт па коле";"Flying in orbit";"盤\t旋";"Flying in orbit";"Bay quỹ đạo";;
"actionBarItem/support_plane_group_return";"Return";"Retour";"Ritorna";"Zurück";"Volver";"Вернуться";"Wróć";"Návrat";"Geri dön";"返\t回";"戻る";"Retornar";"Повернення";"Return";"Return";"돌아가기";"Вернуться";"Return";"返\t回";"Return";"Quay lại";;
"actionBarItem/ugv";"UGV deploy";"Déployer un drone terrestre";"Dispiega UGV";"Einsatz eines unbemannten Landfahrzeuges";"Desplegar UGV";"Запуск БНТС";"Użycie pojazdu bezzałogowego";"Vypuštění UGV";"İKA görevlendir";"部\t署\t无\t人\t地\t面\t载\t具";"UGV\t配置";"Mobilizar UGV";"Запуск БНТЗ";"UGV deploy";"UGV telepítése";"UGV 배치";"Запуск БНТС";"UGV deploy";"部\t署\t地\t面\t無\t人\t機";"UGV deploy";"Triển khai UGV";;
"actionBarItem/mine_detonation";"Mine detonation";"Détonation de la mine";"Detonazione Mina";"Minenexplosion";"Detonación de mina";"Детонация мины";"Eksplozja miny";"Detonace miny";"Mayın tetikleme";"起\t爆";"起爆";"Detonação de mina";"Детонація міни";"Mine detonation";"Aknarobbantás";"지뢰 기폭";"Дэтанацыя міны";"Mine detonation";"起\t爆";"Mine detonation";"Kích nổ mìn";;
"actionBarItem/unlimited_control";"Switch control to other vehicle";"Prendre le contrôle d'un autre véhicule";"Passa al controllo dell'altro mezzo";"Steuerung zum anderen Fahrzeug wechseln";"Cambiar el control a otro vehículo";"Переключиться на управление другой техникой";"Przełącz sterowanie na inny pojazd";"Přepni na ovládání jiného stroje";"Diğer aracın kontrolüne geç";"切\t换\t至\t其\t他\t载\t具";"操作兵器の\t切替";"Mudar o controle para outro veículo";"Перейти на керування іншою технікою";"Switch control to other vehicle";"Másik jármű irányítása";"다른 장비 조종";"Пераключыцца на кіраванне іншай тэхнікай";"Switch control to other vehicle";"切\t換\t至\t其\t他\t載\t具";"Switch control to other vehicle";"Chuyển tay lái tới phương tiện khác";;
"actionBarItem/building";"Building of objects";"Construction d'objets";"Costruzione degli oggetti";"Objekte aufbauen";"Construcción de objetos";"Постройка объектов";"Budowanie obiektów";"Stavění objektů";"Nesne inşası";"建\t造\t模\t式";"オブジェクト\t作成";"Construção de objetos";"Побудова об'єктів";"Building of objects";"Building of objects";"오브젝트 구축";"Постройка объектов";"Building of objects";"建\t造\t模\t式";"Building of objects";"Xây dựng các đối tượng";;
"hitcamera/result/ricochet";"Ricochet";"Ricochet";"Rimbalzo";"Abpraller";"Rebote";"Рикошет";"Rykoszet";"Sklouznutí";"Sekme";"跳\t弹";"跳弾";"Ricochete";"Рикошет";"Rikošet";"Lepattant";"도탄";"Рыкашэт";"Ricoșeu";"跳\t彈";"跳\t弹";"Nảy đạn";;
"hitcamera/result/bounce";"Non-penetration";"Non-pénétration";"Non penetrato";"Kein Durchschlag";"Sin penetración";"Не пробил";"Pancerz nie przebity";"Neproražení";"Delinememe";"未\t击\t穿";"非貫通";"Sem penetração";"Не пробив";"Nema penetracije";"Nincs átütés";"비관통";"Непрабіццё";"Nonpenetrare";"沒\t有\t穿\t透";"未\t击\t穿";"Không xuyên";;
"hitcamera/result/hit";"Hit";"Coup";"Colpo";"Treffer";"Impacto";"Попадание";"Trafienie";"Zásah";"İsabet";"命\t中";"ヒット";"Acerto";"Влучення";"Pogodak";"Találat";"명중";"Траплянне";"Lovit";"擊\t中";"命\t中";"Trúng";;
"hitcamera/result/damage";"Damage";"Dommage";"Danno";"Schaden";"Daño";"Пробитие";"Uszkodzenie";"Poškození";"Hasar";"击\t伤";"損傷";"Dano";"Пробиття";"Oštećenje";"Sebzés";"손상";"Прабіццё";"Avariat";"傷\t害";"击\t伤";"Hư hại";;
"hitcamera/result/burn";"Fire";"Feu";"Incendio";"Feuer";"Fuego";"Пожар";"Podpalenie";"Zapálení";"Yangın";"引\t燃";"火災";"Incêndio";"Пожежа";"Požar";"Kigyulladt";"화재";"Пажар";"Incendiu";"引\t燃";"引\t燃";"Cháy";;
"hitcamera/result/critical";"Critical Hit";"Coup critique";"Colpo Critico";"Kritischer Treffer";"Impacto crítico";"Критический урон";"Trafienie krytyczne";"Kritický zásah";"Kritik Hasar";"重\t创";"クリティカルヒット";"Acerto crítico";"Критичні ушкодження";"Kritični pogodak";"Kritikus találat";"치명타";"Крытычнае пашкоджанне";"Lovitură critică";"致\t命\t攻\t擊";"重\t创";"Chí Mạng";;
"hitcamera/result/kill";"Destroyed";"Détruit";"Distrutto";"Zerstört";"Destruido";"Уничтожил";"Zniszczony";"Zničení";"Yok edildi";"击\t毁";"撃破";"Destruído";"Знищив";"Uništeno";"Megsemmisült";"격파";"Знішчыў";"Distrus";"擊\t毀";"击\t毁";"Bị phá hủy";;
"hitcamera/result/hull";"Hull break";"Rupture de la coque";"Rottura dello scafo";"Wanne durchbrochen";"Vehículo destruido";"Корпус разрушен";"Przełamanie kadłuba";"Poškození trupu";"Gövde hasarlı";"外\t部\t主\t结\t构\t断\t裂";"ハルブレイク";"Rotura do casco";"Корпус зруйнований";"Pucanje trupa";"Testtörés";"차체/선체 파괴";"Корпус разбураны";"Spărtură cocă";"外\t部\t主\t結\t構\t斷\t裂";"外\t部\t主\t结\t构\t断\t裂";"Vỡ thân";;
"hitcamera/result/ammo";"Ammunition exploded";"Les munitions ont explosé";"Stiva munizioni esplosa";"Munition explodiert";"Explosión de la munición";"Взрыв боекомплекта";"Amunicja eksplodowała";"Výbuch munice";"Mühimmat infilak etti";"弹\t药\t殉\t爆";"弾薬庫が\t爆発しました";"Explosão da munição";"Вибух боєкомплекту";"Eksplozija stalaže za municiju";"Felrobbant a lőszerrekesz";"탄약 유폭";"Выбух боезапасу";"Explozie muniție";"彈\t藥\t殉\t爆";"弹\t药\t殉\t爆";"Kho đạn phát nổ";;
"hitcamera/result/fuel";"Fuel exploded";"Le carburant a explosé";"Carburante esploso";"Treibstoff explodiert";"El combustible explotó";"Взрыв топливных баков";"Paliwo eksplodowało";"Výbuch paliva";"Yakıt patladı";"燃\t油\t爆\t炸";"燃料が\t爆発しました。";"Explosão do combustível";"Вибух паливних баків";"Eksplozija goriva";"Felrobbant az üzemanyag";"연료 폭발";"Выбух паліўных бакаў";"Explozie combustibil";"燃\t料\t爆\t炸";"燃\t油\t爆\t炸";"Xăng phát nổ";;
"hitcamera/result/crew";"Crew knocked out";"Équipage hors de combat";"Equipaggio morto";"Besatzung ausgeschaltet";"Tripulación inconsciente";"Экипаж выведен из строя";"Wyeliminowana załoga";"Vyřazení osádky";"Mürettebat etkisiz hale getirildi";"乘\t员\t昏\t迷";"搭乗員が\t気絶しました";"Tripulação abatida";"Екіпаж виведений з ладу";"Posada je eliminisana";"Harcképtelenné vált a legénység";"승무원 의식불명";"Экіпаж выбыў са строю";"Echipaj eliminat";"乘\t員\t組\t昏\t迷";"乘\t员\t昏\t迷";"Kíp lái bị bắn hạ";;
"hitcamera/result/torpedo";"Torpedo";"Torpille";"Siluro";"Torpedo";"Torpedo";"Торпедирован";"Torpeda";"Torpédo";"Torpido";"鱼\t雷\t命\t中";"魚雷";"Torpedo";"Торпеда";"Torpedo";"Torpedó";"어뢰";"Траплянне тарпеды";"Torpilă";"魚\t雷\t命\t中";"鱼\t雷\t命\t中";"Ngư lôi";;
"hitcamera/result/fuse";"Fuze not armed";"Amorce non armée";"Spoletta non innescata";"Zünder nicht scharfgeschaltet";"Espoleta no activada";"Снаряд не взвёлся";"Zapalnik nie został aktywowany";"Roznětka není odjištěna";"Tapa kurulmadı";"引\t信\t未\t解\t除\t保\t险";"信管が\t備わっていません";"Fusível não armado";"Снаряд не взвівся";"Fuze not armed";"A gyújtó nincs élesítve";"신관이 설정되지 않음";"Снарад не ўзвёўся";"Detonator nearmat";"引\t信\t未\t解\t除\t保\t險";"未\t能\t击\t穿";"Ngòi nổ không được kích hoạt ";;
"hitcamera/result/miss";"Miss";"Manqué";"Mancato";"Verfehlt";"Fallo";"Мимо";"Pudło";"Mimo";"Kaçırdınız";"未\t命\t中";"失敗";"Falha";"Повз";"Miss";"Nincs találat";"빗나감";"Міма";"Ratare";"未\t命\t中";"未\t命\t中";"Trượt";;
"hitcamera/result/undershoot";"Undershoot";"Tir court";"Mancato";"Kurzer Schuss";"Tiro corto";"Недолёт";"Zbyt małe wyprzedzenie";"Podstřel";"Geri ateş ediliyor";"近\t弹";"手前に\t着陸する";"Tiro compensado";"Недоліт";"Undershoot";"Túl rövid lövés";"근탄";"Недалёт";"Țintire insuficientă";"脫\t靶";"脱\t靶";"Đã rõ";;
"hitcamera/result/breaking";"Shell shattered";"Obus désintégré";"Proiettile frantumato";"Granate zersplittert";"Proyectil fragmentado";"Снаряд разрушился";"Pocisk rozbity";"Náboj roztříštěn";"Mermi parçalandı";"炮\t弹\t碎\t裂";"砲弾が\t砕け\t散った";"Munição quebrada";"Снаряд зруйнувався";"Shell shattered";"Darabokra tört a lőszer";"탄자 붕괴";"Снарад разбурыўся";"Proiectil spulberat";"炮\t彈\t碎\t裂";"弹\t杆\t断\t裂";"Đạn bị vỡ";;
"hitcamera/result/invulnerable";"Temporarily invulnerable";"Temporairement invulnérable";"Temporaneamente invulnerabile";"Vorübergehend unverwundbar";"Temporalmente invulnerable";"Временно неуязвим";"Czasowo niezniszczalny";"Dočasně nezničitelný";"Geçici olarak hasar verilemiyor";"目\t标\t处\t于\t出\t生\t保\t护\t状\t态";"一時無敵";"Temporariamente invulnerável";"Тимчасово невразливий";"Temporarily invulnerable";"Időlegesen sebezhetetlen";"일시 무적";"Часова непаражальны";"Temporarily invulnerable";"目\t標\t處\t於\t重\t生\t保\t護\t狀\t態";"Temporarily invulnerable";"Tạm thời bất tử";;
"recentItems/otherItems";"All inactive items";"Objets inactifs";"Tutti gli oggetti inattivi";"Alle inaktiven Gegenstände";"Todos los artículos inactivos";"Все неактивные предметы";"Wszystkie nieaktywne przedmioty";"Všechny neaktivní předměty";"Aktif olmayan tüm öğeler";"所\t有\t未\t激\t活\t的\t道\t具";"全ての\t非表示\tアイテム";"Todos os itens inativos";"Ваш інвентар";"Svi neaktivni predmeti";"Minden inaktív tárgy";"전체 비활성 아이템";"Усе незадзейнічаныя прадметы";"Toate articolele inactive";"所\t有\t未\t啟\t用\t的\t物\t品";"所\t有\t未\t激\t活\t的\t道\t具";"Mọi vật phẩm chưa kích hoạt";;
"recentItems/useItem";"Are you sure you want to use item
{itemName} ?";"Êtes-vous certain de vouloir utiliser l'élément {itemName} ?";"Sei sicuro di voler usare l'oggetto
{itemName} ?";"Bist du sicher, dass du
{itemName}
aktivieren willst?";"¿Está seguro de querer usar el artículo
{itemName}?";"Вы уверены, что хотите использовать предмет
{itemName} ?";"Czy na pewno chcesz użyć przedmiotu
{itemName}?";"Opravdu chceš použít {itemName}?";"Kullanmak istediğine emin misin
{itemName} ?";"确\t定\t要\t使\t用 {itemName} 吗？";"この\tアイテム {itemName} を\t使用しますか？";"Tem a certeza que quer usar o item
{itemName} ?";"Ви впевнені, що хочете використати предмет
{itemName} ?";"Da li ste sigurni da želite da iskoristite ovaj predmet {itemName} ?";"Biztosan fel akarod használni ezt:
{itemName}?";"정말로 {itemName} 아이템을 사용하시겠습니까?";"Ці сапраўды хочаце спатрэбіць прадмет 
{itemName}?";"Sigur dorești să folosești
{itemName} ?";"確\t定\t要\t使\t用\t物\t品
{itemName} 嗎?";"确\t定\t要\t使\t用 {itemName} 吗？";"Bạn có chắc muốn sử dụng vật phẩm
{itemName} ?";;
"crewSkillParameter/hearingDistance";"Absolute Detection";"Détection absolue";"Rilevamento assoluto";"Entdeckungsweite im Umkreis";"Detección absoluta";"Безусловное обнаружение";"Wykrywanie bezwzględne";"Absolutní detekce";"Mutlak Tespit";"绝\t对\t探\t测\t距\t离";"絶対探知距離";"Deteção absoluta";"Безумовне виявлення";"Apsolutna detekcija";"Abszolút észlelés";"완전 탐지거리";"Безумоўнае выяўленне";"Detectare absolută";"絕\t對\t探\t測\t距\t離";"绝\t对\t探\t测\t距\t离";"Phát hiện tuyệt đối";;
